アザラシ,azarasi
アシカ,asika
アライグマ,aeaiguma
イタチ,itati
犬,inu
イルカ,iruka
うさぎ,usagi
うし,usi
うま,uma
カモノハシ,kamonohasi
キリン,kirin
熊,kuma
こあら,koara
ゴリラ,gorira
こうもり,koumori
にほんざる,nihonnzaru
日本鹿,nihonzika
すいぎゅう,suigyuuf
狸,tanuki
となかい,tonakai
トラ,tora
トンボ,tonbo
ナマケモノ,namakemono
ニワトリ,niwatori
ヌー,nuu
ネコ,neko
ハイエナ,hiena
ハリネズミ,harinezumi
ハンミョウ,hanmyou
バッファロー,baffarou
パンダ,panda
ピューマ,pyuuma
ヒツジ,hitsuji
フクロウ,fukurou
フラミンゴ,furamingo
ブタ,buta
ヘビ,hebi
ペンギン,penguin
ホッキョクグマ,hokkyokuguma
マーモット,maamotto
マントヒヒ,mantohihi
ミツバチ,mitsubachi
ミニチュアダックス,minichuadakkusu
ムササビ,musasabi
メダカ,medaka
モモンガ,momonga
ヤギ,yagi
ヤマアラシ,yamaarashi
ヤマネ,yamane
ユニコーン,yunikoon
ライオン,raion
ラクダ,rakuda
リス,risu
りんご,ringomushi
インコ,inko
レッサーパンダ,ressapanda
ロバ,roba
ワニ,wani
アカハラ,akahara
アジサシ,ajisashi
ラクダ,rakuda
イヌワシ,inuwashi
インコ,inco
ウミガメ,umigame
エイ,ei
エリマキトカゲ,erimakitokage
オオカミ,ookami
オカメインコ,okameinko
オジロワシ,ojiro washi
オポッサム,opossumu
カエル,kaeru
カエルアマガエル,kaeruamagayeru
カピバラ,kapibara
カラカラ,karakara
カラス,karasu
カワウソ,kawauso
キツネ,kitsune
クジラ,kujira
クモ, kumo
クマノミ,kumanomi
ケープペンギン,keipupengin
コアラ,koara
コウノトリ,kounotori
コモドドラゴン,komododoragon
コンゴウインコ,congouinko
サイ,sai
サル,saru
シカ,shika
シマウマ,shimauma
シロクマ,shirokuma
シロアリ,shiroari
シロサイ,shirosai
スカンク,sukanku
スズメ,suzume
セイウチ,seiuchi
ソウゲンカナヘビ,sougenkanhebi
タカ,taka
タコ,tako
タヌキ,tanuki
ツバメ,tsubame
